window_start	window_end	avg_conn_duration	number_of_conn	d_number_of_conn	sum_orig_kbytes	sum_resp_kbytes
2018-10-14 07:20:00	2018-10-14 08:20:00	2.8594438363498136	123599	-1890	215098.731	2838940.293
2018-10-14 07:30:00	2018-10-14 08:30:00	2.9281412972999146	124144	545	234660.757	2807983.342
2018-10-14 07:40:00	2018-10-14 08:40:00	2.9771715383871555	127191	3047	287545.305	3038109.087
2018-10-14 07:50:00	2018-10-14 08:50:00	2.587261021728549	127344	153	96358.087	2791011.095
2018-10-14 08:00:00	2018-10-14 09:00:00	2.868468728914581	122146	-5198	94948.97	2897936.481
2018-10-14 08:10:00	2018-10-14 09:10:00	2.8835117009457796	120219	-1927	95170.998	2919449.818
2018-10-14 08:20:00	2018-10-14 09:20:00	2.842742373997638	121712	1493	94860.225	3089451.473
2018-10-14 08:30:00	2018-10-14 09:30:00	2.7849070337637336	122291	579	75811.648	3087019.834
2018-10-14 08:40:00	2018-10-14 09:40:00	2.964539386154816	119825	-2466	23110.735	21244449.208
2018-10-14 08:50:00	2018-10-14 09:50:00	3.0994431437363477	119427	-398	22832.244	21335648.471
2018-10-14 09:00:00	2018-10-14 10:00:00	2.8166146439907087	120039	612	22144.44	21132471.719
2018-10-14 09:10:00	2018-10-14 10:10:00	2.801727689030384	120150	111	21492.148	21083416.271
2018-10-14 09:20:00	2018-10-14 10:20:00	2.8646918965229275	119727	-423	21475.24	20897428.342
2018-10-14 09:30:00	2018-10-14 10:30:00	2.9212918779386263	119784	57	70805.835	20978374.97
2018-10-14 09:40:00	2018-10-14 10:40:00	2.5657421894374695	119744	-40	69595.04	2662484.135
2018-10-14 09:50:00	2018-10-14 10:50:00	2.7629593702411452	118936	-808	75686.952	2551667.017
2018-10-14 10:00:00	2018-10-14 11:00:00	2.794569539115289	117077	-1859	75874.13	2514789.351
2018-10-14 10:10:00	2018-10-14 11:10:00	2.7788726779398294	117388	311	76269.534	2452381.287
2018-10-14 10:20:00	2018-10-14 11:20:00	2.7176218013026054	117304	-84	2137978.826	2554265.139
2018-10-14 10:30:00	2018-10-14 11:30:00	2.662028578431045	117326	22	2088284.671	2593470.934
2018-10-14 10:40:00	2018-10-14 11:40:00	2.707320040797765	113217	-4109	5889772.741	2512697.159
2018-10-14 10:50:00	2018-10-14 11:50:00	2.3409390687075744	112695	-522	10020863.908	2598173.282
2018-10-14 11:00:00	2018-10-14 12:00:00	2.2699010100913752	114256	1561	20706426.057	2741537.46
